Name	Set	ImageFile	Type	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Traits	Flavour	Ability1	Ability2	Ability3
Raspberyl & Flonne	S02	DGS02-001_RR	CH	Y	RR	DG/S02-001	0	0	2500	1	0	Demon, Glasses	Raspberyl "Baddies are always cool!"	[A] When this card is placed on Stage from hand, you may choose 1 of your opponent's Climax in Waiting Room, return it to Deck. If you do, shuffle the Deck, during this turn, this card gets +1000 Power and +1 Soul.		
Fallen Angel Flonne	S02	DGS02-002_RR	CH	Y	RR	DG/S02-002	1	1	2500	1	1	Angel, Demon	Let's go, Mr. Laharl!	[C] SUPPORT All your <Demon> Characters in front of this card get +1 Level and +500 Power. 	[S] CONCENTRATE [(1)Put this card to REST] Place the top 4 cards of your Deck into the Waiting Room,. For each Climax in those cards, choose 1 of your <Demon> Characters, during this turn, it gets +1000 Power, +1 Soul.	
Asuka Cranekick	S02	DGS02-003_R	CH	Y	R	DG/S02-003	0	0	2500	1	0	Demon, Delinquent	That's our sis! Baddie amongst baddies!	[C] If there are no Climax in your opponent's Waiting Room, this card gets +1 Soul.		
Childhood Friend Raspberyl	S02	DGS02-004_R	CH	Y	R	DG/S02-004	1	0	3500	1	0	Demon, Delinquent	I will not let go of this hand! This hand is what keeps you and I together!	[A] BOND/<<Demon Lord Mao>> [(1)] (When you place this card on Stage from hand, you may pay the cost. If you do, choose 1 <<Demon Lord Mao>> from your Waiting Room and place it into your hand)		
Devil Buster Adell	S02	DGS02-005_R	CH	Y	R	DG/S02-005	1	1	5000	1	1	Hero	What's important isn't the blood connection. It's the echoing of heart.	[A] When this card attacks, if the Climax Card <<Believe In Me!>>is in play, this card gets +1 Soul until the end of the turn.	[A] ENCORE [Discard 1 Character to Waiting Room from hand] (When this card is placed in Waiting Room from Stage, you may pay the cost. If you do, return this card in REST to its previous slot.)	
Overlord Mao	S02	DGS02-006_R	CH	Y	R	DG/S02-006	2	2	5500	2	1	Demon, Weapon	Done with your prayers, super-hero? Here's your grave	[C] For each card in your Level Slot, this card gets +1 Soul. 	[A] [(2)] When this card attacks, if <<Ah, Let The Experiment Begin!!>> is in the Climax slot, you may pay the cost. If you do, choose 1 of your opponent's Level 2 or below Characters, place it in Stock.	
Netherworld Genius Mao	S02	DGS02-007_U	CH	Y	U	DG/S02-007	0	0	1000	1	0	Demon, Glasses	.. Whatever. Now what to do with this guy...	[A] [(2)] When this card is placed in Waiting Room from Stage, you may pay the cost. If you do, search your Deck for up to 1 <Hero> Character or card with <<Protagonist>> in its name, show it to your opponent and place it into your hand. Shuffle your Deck afterwards.		
Kyoko Needleworker	S02	DGS02-008_U	CH	Y	U	DG/S02-008	0	0	2500	1	0	Demon, Delinquent	That's our big sis! Ideal of the baddies!	[C] If there are no Climax in your opponent's Waiting Room, this card gets +2000 Power.		
Superb Salvatore	S02	DGS02-009_U	CH	Y	U	DG/S02-009	1	1	5500	1	1	Demon, Weapon	This is an order! Show me your truth strength!	[C] The Character facing this card cannot be moved to another slot.		
Legendary Top Graduate Raspberyl	S02	DGS02-010_U	CH	Y	U	DG/S02-010	2	1	7500	1	1	Demon, Delinquent	Asuka "Big sis' record of no tardy and no absence will remain in the records of the school!"	[A] When this card is placed on Stage from hand, if there are 5 or less cards in your Deck, return all your Waiting Room cards to the Deck. If you do, shuffle the Deck, during this turn, all your Characters get +1 Soul. 	[A] [(2)] When this card attacks, if <<And Thus, The Legend Begins...>> is in the Climax slot, you may pay the cost. If you do, choose 1 of your opponent's Level 2 or below Characters, place it in Stock.	
