Name	Set	Imagefile	Type	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Traits	Flavour	Ability1	Ability2	Ability3
Emiya Shirou	S03	FSS03-001_RR	CH	Y	RR	FS/S03-001	0	0	500	1	0	Master, Weapon	That's fine, just come. I want to introduce Saber to everyone	[A] BOND/<<King of Knights Saber>>[(1)](When you play this card to Stage, you may pay this cost. If you do, choose 1 <<King of Knights Saber>> from your Waiting Room, put it into your hand)	[S][(1)]Choose 1 <Weapon> Character, during this turn, it gets +500 Power.	
King Of Knights Saber	S03	FSS03-002_RR	CH	Y	RR	FS/S03-002	2	2	7500	2	1	Servant, Weapon	You said that as soon as you close your eyes, you dreamt the same dream...?	[C]For each of your other Characters with <Master>, this card gets +500 Power.	[C]If you have another <<Emiya Shirou>> on Stage, this card gains <<[A] ENCORE [Discard 1 Character from hand to Waiting Room]>>.	
Demon Instructor Saber	S03	FSS03-003_R	CH	Y	R	FS/S03-003	0	0	2500	1	0	Servant, Weapon	Now. Parry lightly like normal	[C]If you have 2 or more other <Weapon> Characters, this card gets +1000 Power		
Most Ancient King Gilgamesh	S03	FSS03-004_R	CH	Y	R	FS/S03-004	2	1	8000	1	1	Servant, Weapon	Our turn to shine. Wake up, Air	[S][(2)]Search your Deck for up to 1 Climax card, place it into the Waiting Room, shuffle your Deck. If you placed 1 into the Waiting Room, choose 1 of your opponent's front row Level 2 or below Characters, and place it in Stock.		
Ally Of Justice Shirou	S03	FSS03-005_R	CH	Y	R	FS/S03-005	2	1	7000	1	1	Master, Weapon	The young man fought his own demise with his own power and won	[A][(2)]When this card attacks, if <<Infinite Blade Creation>> is in your Climax slot, you may pay the cost. If you do, choose 1 of your opponent's Level 2 or below Characters, place it into Stock.	[A] ENCORE [(2)] (When this card is put to Waiting Room from Stage, you may pay this cost. If you do, return this card in REST to it's previous slot)	
Shirou & Saber	S03	FSS03-006_R	CH	Y	R	FS/S03-006	3	2	9500	2	1	Master, Servant	Shirou, hand ---!	[C]If your Deck has 5 or less cards, this card gets -1 Level in your hand.	[A]When this card comes to Stage from hand, you may place the top card of your Clock into Waiting Room.	[A][(1)]When this card attacks, if <<Golden Farewell>> is in your Climax slot, you may pay the cost. If you do so, choose 1 of your opponent's Level 2 or below Characters, place it in Stock.
Mitsuzuri Ayako	S03	FSS03-007_U	CH	Y	U	FS/S03-007	0	0	1000	1	0	Sports	Hmm? Did you just say something bad just now?	[A]When this card comes to Stage from hand, reveal 1 card from the top of your Deck. If that card has <<Rin>> in its name, draw 1 card, then choose 1 card from your hand, place into Waiting Room.	[A]When this card attacks, during this turn, all your Characters get +500 Power.	
Stomach Growling	S03	FSS03-008_U	CH	Y	U	FS/S03-008	0	0	2500	1	0	Servant, Teacher	Shirou, seconds!	[S][Put 1 card with <<Shirou>> in its name to REST] During this turn, this card gets +2000 Power.		
Invisible Sword Saber	S03	FSS03-009_U	CH	Y	U	FS/S03-009	1	0	1500	1	0	Servant, Weapon	Run away, Shirou----!	[S][COUNTER] ASSIST 1500 Level 1 [Discard this card from hand to Waiting Room] (Choose 1 Character that is being Front Attacked, during this turn, it gets +1500 Power.)		
Golden King Of Heroes Gilgamesh	S03	FSS03-010_U	CH	Y	U	FS/S03-010	1	0	5000	1	0	Servant, Weapon	Is it bad for me to come here to claim what's mine	[S][Put 1 of your <Weapon> Characters to REST]During this turn, this card gets +1000 Power.		
Emiya Kiritsugu	S03	FSS03-011_U	CH	Y	U	FS/S03-011	1	0	5000	1	0	Master, Weapon	When I was a kid, I vowed to be an ally of justice	[C]If the card doing battle with this card is Level 2 or above, this card gets +2000 Power.		
After Bath Saber	S03	FSS03-012_C	CH	Y	C	FS/S03-012	0	0	3000	1	0	Servant, Weapon	It's cold tonight, so a hot bath will warm the body			
Fujimura Taiga	S03	FSS03-013_C	CH	Y	C	FS/S03-013	0	0	500	1	0	Teacher, Sports	I'm a bit lonely	[C]All of your other cards with <<Sakura>> in its name get +500 Power.	[S][Put this card to REST]Choose 1 of your cards with <<Shirou>> in its name, during this turn, it gets +1000 Power.	
Ryuudou Issei	S03	FSS03-014_C	CH	Y	C	FS/S03-014	0	0	1000	1	0	Student Council, Glasses	Of course. As student council president, I have control over every student's information	[C] SUPPORT All your Characters in front of this card gets +500 Power.		
Fully Powered Heroic Spirit Saber	S03	FSS03-015_C	CH	Y	C	FS/S03-015	1	1	5000	1	1	Servant, Weapon	I shall take on the name of Saber......! You shall be my master, Rin---!	[C]If the card battling this card has <Magic>, this card gets +2000 Power.	[A] ENCORE [Discard 1 Character to Waiting Room from hand] (When this card is put to Waiting Room from Stage, you may pay this cost. If you do, return this card in REST to it's previous slot)	
Ilya & Shirou	S03	FSS03-016_C	CH	Y	C	FS/S03-016	1	0	2500	1	0	Master, Weapon	I'm the big sister. Therefore, I have to protect my little brother	[C] SUPPORT All the Level 2 and above in front of this card get +1 Soul.	[S] CONCENTRATE [(2)]Place the top 4 cards of your Deck into Waiting Room. For every Climax in those cards, choose 1 of your opponents front row Level 1 or below Characters, return it to his/her hand.	
Master Fuji	S03	FSS03-017_C	CH	Y	C	FS/S03-017	1	1	6000	1	1	Teacher, Sports	Marvelous! Bravo! Big Bravo!			
Bearer Of The Holy Sword Saber	S03	FSS03-018_C	CH	Y	C	FS/S03-018	2	2	8500	2	1	Servant, Weapon	---- Wind	[A][(5)]When this card attacks, if <<Sword Of Promised Victory>> is in your Climax slot, you may pay the cost. If you do, place all of your opponent's front row Level 2 and below Characters into Stock.		
The King's Treasures	S03	FSS03-019_R	EV	Y	R	FS/S03-019	1	3			0		If you're lucky, you'll get away with just having your hand and feet punctured---!	Search your Deck for up to 2 <Weapon> Characters, show them to your opponent and place them into your hand. Shuffle your Deck.		
Summon Saber	S03	FSS03-020_U	EV	Y	U	FS/S03-020	1	3			0		---I ask you. Are you my Master	Choose a card of your current Level +1 or below with the name <<Saber>> from your hand and place it on the Stage in any slot.		
Funny Lion	S03	FSS03-021_U	EV	Y	U	FS/S03-021	2	2			0		Once upon a time I was given a lion cub, --	[COUNTER] Choose 1 of your Characters, during this turn, it gets +5000 Power, +1 Soul		
Shirou VS Gilgamesh	S03	FSS03-022_C	EV	Y	C	FS/S03-022	1	0			0		Don't ---- you run away, you bastard----!	Choose one of your Characters, place it on top of your Deck. If you do, choose 1 of your opponent's Level 2 or below front row Characters, return it to his/her hand.		
Golden Farewell	S03	FSS03-023_CR	CX	Y	CR	FS/S03-023					1W		Shirou---- I love you	[C]All your Characters gets +1000 Power, +1 Soul.	(Wind: When this card is Triggered, you may choose 1 of opponent's Characters, return to his/her hand)	
Sword Of Promised Victory	S03	FSS03-024_CC	CX	Y	CC	FS/S03-024					2		--A blade of light that cuts through anything it touches without exceptions--	[C]All your Characters get +2 Soul.		
Infinite Blade Creation	S03	FSS03-025_CC	CX	Y	CC	FS/S03-025					2		Let's go, Hero King---- You sure you have enough stocked weapons	[A]When this card comes on Stage from hand, put the top card of your Deck to Stock. During this turn, all of your Characters get +1 Soul.		
Master Sakura	S03	FSS03-026_RR	CH	G	RR	FS/S03-026	1	0	2500	1	0	Master, Sports	As Master of Rider, I shall fight with all my might	[C]All your other <Animal> Characters get +500 Power.	[S] CONCENTRATE [(2)]Place the top 3 cards of your Deck into Waiting Room. If there is <<Gorgon's Daughter Rider>> in those cards, choose 1 <<Gorgon's Daughter Rider>> from your Waiting Room, place it on the Stage in any slot.	
The Legendary Hero Berserker	S03	FSS03-027_RR	CH	G	RR	FS/S03-027	2	3	9500	2	1	Servant, Weapon	----Chains of Heavens----!	[A] ENCORE [Place 1 card from the top of your Deck into your Clock] (When this card is put to Waiting Room from Stage, you may pay this cost. If you do, return this card in REST to its previous slot)		
Matou Sakura	S03	FSS03-028_R	CH	G	R	FS/S03-028	0	0	1000	1	0	Master, Sports	Which one do you like, Rider or I?	[S][(2)]Choose 1 <<Battle Stance Rider>> from your Clock and place it on the Stage in any slot. Choose 1 of your hand cards, place it in your Clock.	[S][Put this card into REST] Choose 1 of your Characters, during this turn, it gets +1000 Power.	
