Name	Set	ImageFile	Type	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Traits	Flavour	Ability 1	Ability 2	Ability 3
Girl Full of Questions Cyrille	S04	SES04-001_RR	CH	Y	RR	SE/S04-001	1	0	4500	1	0	Magic, Book		[A] [(1)] If this card attacks when <<Cyrille's Feelings>> is in play, you may pay the cost. If you do so, search your Deck for a <<Cyrille's Feelings>>, show it to your opponent and put it into your hand, then shuffle your Deck.	[A] When damage dealt by this card is cancelled, this card gains +2000 Power until the end of that turn. 	
Toma & Zenus	S04	SES04-002_RR	CH	Y	RR	SE/S04-002	1	0	4500	1	0	Weapon, Animal		[A] [(3)] When this card is being Front Attacked, you may pay the cost. If you do so, return this card to your hand and put a <<Witch Hat Cyrille>> from your hand into play in this card's border. 		
Outlaw Toma	S04	SES04-003_R	CH	Y	R	SE/S04-003	0	0	1500	1	0	Weapon		[C] If you have another Character with ASSIST, this card gets +2000 Power. 		
Wild Child Toma	S04	SES04-004_R	CH	Y	R	SE/S04-004	1	0	5000	1	0	Weapon		[A] If this card declares a Frontal Attack when <<VS Boar>> is in play and the Character in battle with this card is of a Level lower than this card, all of your Characters gain +1 Soul for that turn. 		
Centaur Knight Gadfort	S04	SES04-005_R	CH	Y	R	SE/S04-005	1	1	2500	1	1	Animal, Weapon		[C] ASSIST All of your <Weapon> Characters in front of this card get +1 Level and +500 Power	[S] [Change this card to REST] Choose 1 of your Characters, that Character gains the <Weapon> trait until the end of the turn.	
Witch Hat Cyrille	S04	SES04-006_R	CH	Y	R	SE/S04-006	2	2	8000	2	1	Magic, Book		[C] If you have 2 or less other Characters, this card gains +2000 Power. 		
The Chosen One Toma	S04	SES04-007_R	CH	Y	R	SE/S04-007	2	2	8000	2	1	Weapon		[C] When this card battles and the Character in battle with this card is of a Level lower than this card, this card gains +1000 Power.	[A] When this card attacks and the Climax <<Sacred Sword Shining Force>> is in play, choose 1 of your opponent's Characters and return that card to the hand.	
Cyrille & Zhirra	S04	SES04-008_U	CH	Y	U	SE/S04-008	0	0	1500	1	0	Book, Animal		[A] [(2)] When this card is played from your hand onto the Stage, you may pay the cost. If you do so, choose up to 1 ASSIST Character from your Deck, show it to your opponent and add it to your hand. Shuffle the Deck.		
Way of the Knight Gadfort	S04	SES04-009_U	CH	Y	U	SE/S04-009	0	0	2000	1	0	Animal, Weapon		[S] [(2)] Choose 1 of your Characters, that Character gains +2000 Power and +1 Soul for that turn.		
Good Friends Cyrille & Zhirra	S04	SES04-010_U	CH	Y	U	SE/S04-010	1	1	6500	1	1	Book, Animal		[A] When this card is played from your hand onto the Stage, choose 2 of your Characters in STAND and change them to REST.		
Legendary Hero Avalon	S04	SES04-011_U	CH	Y	U	SE/S04-011	2	1	10000	2	1	Weapon, Undead		[A] When this card is put onto the Stage, you may choose 3 <<Legendary Hero Avalon>> from your hand and put them in your Waiting Room. If you do so, draw 3 cards. If you do not, put this card in your Waiting Room.		
Master Toma	S04	SES04-012_U	CH	Y	U	SE/S04-012	3	2	9000	2	1	Weapon		[A] [(6)] This ability can only be activated once per turn. When the Character in battle with this card is changed to REVERSE position, you may pay the cost. If you do so, change this card to STAND	[A] ENCORE [Put a Character card from your hand into the Waiting Room] (When this card is put into your Waiting Room from the Stage, you may pay the cost. If you do so, put this card in REST in the border it was in.) 	
