Name	Set	Imagefile	Type	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Trait	Flavour	Ability1	Ability2	Ability3
Snowfield's Fairy White Ren	S10	MBS10-001_RR	CH	Y	RR	MB/S10-001	1	1	6500	1	0	Familiar, Animal	You're an eyesore, so would you please get out of here?	[C] EXPERIENCE If the total Level of cards in your Level slot is 2 or higher, this card gets +1000 Power.		
True Ancestor Arcueid	S10	MBS10-002_RR	CH	Y	RR	MB/S10-002	2	2	7500	2	1	Royalty, Blood	What I want to do is to be reborn as something else	[A] [(2)] When this card attacks, if <<Marble Phantasm>> is in your Climax slot, you may pay this cost. If you do, choose 1 of your opponent's Character with Level 1 or less, place it into Stock, during this turn, this card gets +3000 Power.	[A] ENCORE [Discard 1 Character from Hand to Waiting Room] (When this card is placed into Waiting Room from Stage, you may pay this cost. If you do, place this card in its previous slot in REST)	
A Certain Day's Len	S10	MBS10-003_R	CH	Y	R	MB/S10-003	0	0	500	1	0	Familiar, Animal	............	[C] SUPPORT All Characters in front of this card gets +500 Power.	[A] [(1) Discard 1 card from Hand to Waiting Room] When this card is placed on Stage from hand, you may pay this cost. If you do, search your Deck for 1 Character with <<Shiki>> in its name, show it to your opponent, then place it into your hand. Shuffle your Deck afterwards.	
Tyrant Arcueid	S10	MBS10-004_R	CH	Y	R	MB/S10-004	0	0	1000	1	0	Royalty, Blood	I don't think I'm violent like that, right-?	[S] [Put this card to REST] Choose 1 of your Characters, during this turn, it gets +1000 Power.	[S] CONCENTRATE[(1)] Flip the top 4 cards of your Deck, place them into Waiting Room. For every Climax in those cards, choose 1 of your Characters, during this turn, it gets +1 Soul.	
Fallen True Ancestor Arcueid	S10	MBS10-005_R	CH	Y	R	MB/S10-005	0	0	2500	1	0	Royalty, Blood	Ahahahahahaha! A vampire should obviously be like this!	[S] [(1)] During this turn, this card gets +1 Soul.		
Mystic Eyes Of Death Perception Shiki	S10	MBS10-006_R	CH	Y	R	MB/S10-006	1	0	5000	1	0	Magic, Weapon	--- I will tell you. This is what it means to kill a thing	[A] [(1)] When this card attacks, if <<Seventeen Dissection>> is in your Climax slot, you may pay this cost. If you do, during this turn, this card gets +3000 Power, your opponent cannot use <<[A] ENCORE>>.(<<[A] ENCORE[(3)] >> in the Rules cannot be used as well)		
House Tohno's Adopted Son Shiki	S10	MBS10-007_R	CH	Y	R	MB/S10-007	2	1	7500	1	1	Death, Weapon	This is it!	[C] If you have 2 or more other <Blood> Characters in your Front Row, this card gets +1500 Power.	[C] EXPERIENCE If the total Level of cards in your Level slot is 3 or higher, this card gets +1 Soul.	
White Ren	S10	MBS10-008_U	CH	Y	U	MB/S10-008	0	0	1000	1	0	Familiar, Animal	What would it take for this warped person to listen to me...	[S] [COUNTER] ASSIST 1000 Level 0 [(1) Discard this card from Hand to Waiting Room] (Choose 1 of your Characters being Front Attacked, during this turn, it gets +1000 Power.)		
Vampiric Impulse Arcueid	S10	MBS10-009_U	CH	Y	U	MB/S10-009	1	0	5000	1	0	Royalty, Blood	Don't think I'd die like a living being	[A] CHANGE [Place this card into Waiting Room] At the beginning of your Climax phase, you may pay this cost. If you do, choose 1 <<Berserk Arcueid>> from your Waiting Room, place it into this card's previous slot.		
Arcueid Brunestud	S10	MBS10-010_U	CH	Y	U	MB/S10-010	2	1	7500	1	1	Royalty, Blood	Wow, that was exciting~	[C] For each of your other Characters in REST, this card gets +500 Power.		
Succubus Ren	S10	MBS10-011_U	CH	Y	U	MB/S10-011	2	1	8000	1	1	Fariy, Animal		[A] [(1)] When this card attacks, if <<Ephemeral Dream>> is in your Climax slot, you may pay this cost. If you do, choose 1 of your opponent's Characters, return it to Hand, during this turn, this card gets +1 Soul.		
True Ancestor Princess Arcueid	S10	MBS10-012_U	CH	Y	U	MB/S10-012	3	2	10000	2	1	Royalty, Blood	A clown like you pulled a life-risking stunt, I see. I shall respond to your determination in force	[C] EXPERIENCE If the total Level of cards in your Level slot is 4 or higher, this card gets +500 Power, and gains the following ability.<<[A] When the Character battling this card becomes REVERSE, you may place that card into Stock.>> 	[A] When this card is placed on Stage from hand, you may place the top card of your Clock into Waiting Room.	
Dependable Shiki	S10	MBS10-013_C	CH	Y	C	MB/S10-013	0	0	1000	1	0	Glasses, Weapon	Is Arcueid coming...	[A] BOND/<<True Ancestor Killing True Ancestor Arcueid>>[(1)] (When this card is played to Stage, you may pay this cost. If you do, choose 1 <<True Ancestor who kills True Ancestors Arcueid>> from your Waiting Room, return to hand)		
Black Cat Ren	S10	MBS10-014_C	CH	Y	C	MB/S10-014	0	0	2500	1	0	Familiar, Animal	Kohaku: "Ah, don't do that Hisui-chan. Ren-san is sleeping so don't disturb her"	[A] When a Climax is revealed during this card's Trigger Check, during this turn, this card gets +4000 Power, +1 Soul.		
Vampire Arcueid	S10	MBS10-015_C	CH	Y	C	MB/S10-015	0	0	3000	1	0	Royalty, Blood	I'm sorry, but you have no chance of winning			
Tohno Shiki	S10	MBS10-016_C	CH	Y	C	MB/S10-016	0	0	3000	1	0	Glasses, Weapon	--- That's all you wanted to say	[C] During this turn, this card gets +1000 Power.	[C] If this card is in the Front Row, during your Stand Phase, this card cannot STAND.	
Ren	S10	MBS10-017_C	CH	Y	C	MB/S10-017	1	0	5500	1	0	Familiar, Animal				
True Ancestor Killing True Ancestor Arcueid	S10	MBS10-018_C	CH	Y	C	MB/S10-018	1	1	5000	1	1	Royalty, Blood	Nice, you made me play a little serious now	[C] If you have another card in the Front Row with <<Shiki>> in its name, this card gets +1000 Power.	[A] ENCORE [Discard 1 Character from Hand to Waiting Room] (When this card is placed into Waiting Room from Stage, you may pay this cost. If you do, place this card in its previous slot in REST)	
Berserk Arcueid	S10	MBS10-019_C	CH	Y	C	MB/S10-019	1	1	8500	1	1	Royalty, Blood	You shall die first. Don't worry, everyone will follow you soon	[A] At the beginning of your Encore Step, place this card into Waiting Room.		
Nanaya Shiki	S10	MBS10-020_C	CH	Y	C	MB/S10-020	2	2	9000	2	1	Weapon, Master	To slice and dice the summer snow might grant everyone blessings----			
Space Cat	S10	MBS10-021_U	EV	Y	U	MB/S10-021	1	1			0		Eh? That's the Sun? Is that space debris? Is this the universe? Is this a dream punchline? Wow, this is horrible.	All of your Characters, during this turn, get +1000 Power, +1 Soul. At the end of turn, choose 1 of your Characters, place it into Memory.		
The Pride of Nanaya	S10	MBS10-022_U	EV	Y	U	MB/S10-022	2	1			0		This is the first and last demon hunting for me, so let's not hold back and fight with all you got!	If you have 2 or less Yellow Characters, you cannot play this card. Choose 1 of your opponent's Character with Cost 1 or less, place it into Stock.		
Marble Phantasm	S10	MBS10-023_CR	CX	Y	CR	MB/S10-023					1W		Breath of the stars...!	[C] All your Characters gets +1000 Power, +1 Soul.		
Seventeen Dissection	S10	MBS10-024_CC	CX	Y	CC	MB/S10-024					2		I can see...!	[A] When this card comes to Stage from hand, draw 1 card. Choose 1 of your Characters, during this turn, it gets +2000 Power, +1 Soul.		
Ephemeral Dream	S10	MBS10-025_CC	CX	Y	CC	MB/S10-025					1F		---Hehe, hehehehehe...--	[C] All your Characters get +1000 Power, +1 Soul.		
Memory Partition Sion	S10	MBS10-026_RR	CH	G	RR	MB/S10-026	2	1	7000	1	1	Alchemist, Weapon	...There's no other way but to fight	[A] CHANGE[Place this card to Waiting Room] At the beginning of your Climax phase, you may pay this cost. If you do, choose 1 <<TATARI's Successor Vampire Sion>> or <<Dust of Osiris>> from your Waiting Room, place it in this card's previous slot.	[A] CHANGE [(2) Discard 1 card from hand, place this card into Waiting Room] At the beginning of your Climax phase, you may pay this cost. If you do, choose 1 <<Soul Hacker Sion>> from your Waiting Room, place it into this card's previous slot.	
Cathedral Knight Riesbyfe	S10	MBS10-027_RR	CH	G	RR	MB/S10-027	2	2	7500	2	1	Shield, Weapon	Whatever the enemy may be, if it's a demon, I shall be the shield that plays the holy song	[A] When this card attacks, if <<True Apocrypha Gamaliel>> is in your Climax slot, you may choose 1 card from your Clock, return it to hand. If you do, choose 1 card from your hand, place it into Clock, during this turn, this card gets +4000 Power.	[A] ENCORE [Discard 1 Character from Hand to Waiting Room] (When this card is placed into Waiting Room from Stage, you may pay this cost. If you do, place this card in its previous slot in REST)	
Sion Eltnam Atlasia	S10	MBS10-028_R	CH	G	R	MB/S10-028	0	0	2500	1	0	Alchemist, Weapon	Out of my way!	[C] If you have 1 or less other Character, this card gets +1000 Power, gains <<[A] ENCORE [Discard 1 Character from hand] >>.		
Maiden Of The Aegis Riesbyfe	S10	MBS10-029_R	CH	G	R	MB/S10-029	0	0	2500	1	0	Shield, Weapon	I've thought of that before. But for now, we need to fight to a conclusion	[A] When the Character battling this card becomes REVERSE, choose 1 of your <Weapon> Characters, during this turn, it gets +2000 Power.		
Back Alley Alliance Sion	S10	MBS10-030_R	CH	G	R	MB/S10-030	1	0	5000	1	0	Alchemist, Weapon	Initiating battle	[A] When this card attacks, if the Climax <<Barrel Replica>> is in your Climax slot, during this turn, this card gets +X. X is equals to the number of <Weapon> Characters ×1000.		
House Arima's Eldest Daughter Miyako	S10	MBS10-031_R	CH	G	R	MB/S10-031	1	0	5000	1	0	-	If this hits, you might die-!	[S] CONCENTRATE [(1)] Flip the top 4 cards of your Deck, place them into Waiting Room. For every Climax in those cards, during this turn, this card gets +3000 Power.		
