Name	Set	ImageFile	Type	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Trait	Flavour	Ability1	Ability2	Ability3
Apron-Wearing Nero	S11	MKS11-001_RR	CH	Y	RR	MK/S11-001	2	1	3500	1	1	Detective, Sweets	Here, taste this	[C] SUPPORT All Characters in front of this card gets +1 Soul.	[A] When this card is placed on Stage from hand, reveal the top card of your Deck. If that card is a <Detective> Character, place it into hand, choose 1 card from your hand, place it into Waiting Room.(If its not, return it to its original position)	
Uniform Nero	S11	MKS11-002_RR	CH	Y	RR	MK/S11-002	3	2	10000	2	1	Detective, Sweets	It was wrong to rely on an unreliable Cordelia!	[A] When this card is placed on Stage from hand, during this turn, this card gets +4000 Power, +1 Soul.	[A] When this card is placed on Stage from hand, if your hand has less cards compared to your opponent's hand, you may place the top card of your Deck into Stock.	
Kobayashi Opera	S11	MKS11-003_R	CH	Y	R	MK/S11-003	0	0	500	1	0	Detective	Uh... this amount of money... it wouldn't affect our budget but...	[C] SUPPORT All Characters in front of this card gets +500 Power.	[S] [(2) REST this card] Choose up to 2 of your <Detective> Characters, during this turn, they get +1 Soul.	
Sports Day Nero & Elly	S11	MKS11-004_R	CH	Y	R	MK/S11-004	0	0	2000	1	0	Detective, Sports	Nero "Let's go, Elly!"	[A] [(1)] When this card is placed on Stage from hand, you may pay this cost. If you do, choose 1 of your Characters, during this turn, it gets +1 Soul.		
Yuzurizaki Nero	S11	MKS11-005_R	CH	Y	R	MK/S11-005	1	0	5000	1	0	Detective, Sweets	My Toy will solve this case quickly	[A] [(2)] When this card attacks, if <<Just You And Me On A Date>> is in your Climax slot, you may pay this cost. If you do, choose up to 2 of your other Characters, return to hand.		
Yukata Sheryl	S11	MKS11-006_R	CH	Y	R	MK/S11-006	1	0	5000	1	0	Detective, Kimono	A festival with everyone going around is fun!	[A] When this card attacks, if <<Encounter With Opera>> is in your Climax slot, until the end of your opponent's next turn, your opponent cannot play any Events from hand.	[A] When this card attacks, if <<Encounter With Opera>> is in your Climax slot, during this turn, this card gets +1500 Power.	
Cat-Ear Nero	S11	MKS11-007_R	CH	Y	R	MK/S11-007	2	2	8000	2	1	Detective, Animal		[C] EXPERIENCE If the total Level of cards in your Level slot is 3 or higher, this card gets +1000 Power.	[A] When this card attacks, if <<Stealth Toys>> is in your Climax slot, you may choose 1 of your opponent's Characters, return it to hand.	
Chef Ishinagare-san	S11	MKS11-008_U	CH	Y	U	MK/S11-008	0	0	2500	1	0	Phantom Thief, Chef	Damn you, bread thief...!	[S] [(1) REST 2 of your Characters] During this turn, this card gets +1500 Power, +1 Soul.		
Three Cards Rat	S11	MKS11-009_U	CH	Y	U	MK/S11-009	1	0	5000	1	0	Phantom Thief, Flame	Heh, eat my bomb!	[C] EXPERIENCE If the total Level of cards in your Level slot is 2 or high, this card gets +500 Power, and gains the following ability.<<[A] When the Character battling this card becomes REVERSE, you may place that card into Stock.>>		
Narcissist Nijuri Sensei	S11	MKS11-010_U	CH	Y	U	MK/S11-010	1	1	1000	1	1	Phantom Thief, Narcissist	Phantom Thieves are always as marvelous and beautiful like me!	[A] When you use this card's <<ASSIST>>, place 3 card from the top of your Deck into Waiting Room.	[S] [COUNTER] ASSIST 2000 Level 1[(1) Discard this card from Hand to Waiting Room] (Choose 1 of your Characters being Front Attacked, during this turn, it gets +2000 Power.)	
Sugar Supplying Nero	S11	MKS11-011_U	CH	Y	U	MK/S11-011	1	2	4000	1	1	Detective, Sweets	Here you go. A sugar rush should help you think	[C] During your turn, all your other Characters get +1000 Power.	[A] CHANGE [Place this card into Waiting Room] At the beginning of your Draw Phase, you may pay this cost. If you do, choose 1 <<Cat-Ear Nero>> from your Waiting Room, place it into this card's previous slot.	
