Name	Set	Imagefile	Type	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Traits	Flavour	Ability1	Ability2	Ability3
Guardian Saber	SE03	FHSE03-001_R	CH	Y	R	FH/SE03-001	1	0	6000	1	0	Servant, Weapon	Now, use all your might to come at me	[A][(2)]When <<Decisive Battle! Dead Bridge>> is placed in your Climax Slot, you may pay the cost. If you do, during this turn, this card gains the following ability. <<[C]When this card attacks, choose 1 of your opponent's back row Characters. You may front attack that card as the defending Character.>> 	[A]When the card battling this Character becomes REVERSE, place that card into Stock.	
Child Idol Gilgamesh	SE03	FHSE03-002_R	CH	Y	R	FH/SE03-002	1	1	5500	1	1	Servant, Royalty	Good mornin~g!	[A][(1) Place this card in the Waiting Room]When <<Star Of Creation That Splits Apart Heaven And Earth>>is placed into the Climax slot, you may pay the cost. If you do, search your Deck for up to 1 <Servant> Character your current Level or below, place it in this card's previous slot. Shuffle your Deck.		
All The Evil In This World Avenger	SE03	FHSE03-003_R	CH	Y	R	FH/SE03-003	2	1	7500	1	1	Servant, Void	---Not that I want to brag, but no human can top me	[A][(3)]During this card's battle, when the damage you receive does not cancel, you may pay the cost. If you do, deal the same damage to your opponent.		
Anti-Hero Avenger	SE03	FHSE03-004_C	CH	Y	C	FH/SE03-004	0	0	500	1	0	Servant, Void	Hey, you woke up, Master	[C]If you have 2 or more other <Master> Characters, this card gets <Master>, treat this card's name as <<Emiya Shirou>>. 	[C] All your other <Master> Characters gain <<[A] ENCORE [Place the top card of your Deck into Clock]>>.	
Hotaruzuka Otoko	SE03	FHSE03-005_C	CH	Y	C	FH/SE03-005	0	0	500	1	0	Alcohol	Hey, no time to be sitting around~	[C] SUPPORT All the Characters in front of this card get +1 Level. 	[A]When you Level up, choose 1 of your Characters, during this turn, it gets +1000 Power.	
Priestess Clothes Saber	SE03	FHSE03-006_C	CH	Y	C	FH/SE03-006	0	0	2500	1	0	Servant, Miko	Thank you, but I'm still one that serves the gods	[C]If you have 1 or less Climax in your Waiting Room, this card gets +1000 Power.		
Peaceful Everyday Saber	SE03	FHSE03-007_C	CH	Y	C	FH/SE03-007	1	1	3500	1	1	Servant, Royalty	Since the opportunity presented itself, I figured I'd spend some time here today	[C]During your turn, all your other Characters get +X Power. X is equal to the Character's Level x 500.	[A] CHANGE [Place this card in Clock]At the beginning of your Draw Phase, you may pay the cost. If you do, choose 1 <<King Of The Pool Saber>> from your Waiting Room, place it in this card's previous slot.	
King Of The Pool Saber	SE03	FHSE03-008_C	CH	Y	C	FH/SE03-008	2	2	9000	2	1	Servant, Swimsuit	I was told that wearing it now would make Shirou happy--			
Decisive Battle! Dead Bridge	SE03	FHSE03-009_C	CX	Y	C	FH/SE03-009					2		Archer: "... Gone back to the normal job too much, it seems"	[A]When this card placed into the Climax slot from have, draw 1 card, choose 1 of your Characters, during this turn, it gets +2000 Power, +1 Soul.		
Star Of Creation That Splits Apart Heaven And Earth	SE03	FHSE03-010_C	CX	Y	C	FH/SE03-010					1W		--- Let's start	[C]All your Characters gets +1000 Power, +1 Soul.		
Never-Ending Holy Grail War Bazett	SE03	FHSE03-011_R	CH	G	R	FH/SE03-011	0	0	1000	1	0	Master, Men Clothing	------ Then, you're my enemy	[A]When this card attacks, if it is the first player's turn, during this turn, you can attack up to 2 times. 	[A] When this card becomes REVERSE in battle, you take 2 damage.	
Stheno & Euryale	SE03	FHSE03-012_R	CH	G	R	FH/SE03-012	0	0	1500	1	0	God, Twins	Then, I and I must punish you	[C]If you have another <<Stheno & Euryale>>, all your other Characters with <<Rider>> in the name get +1000 Power.	[C] All your other characters with <<Rider>> in the name gain the following ability. <<[C] This card cannot be put to REVERSE by your opponent's [A] abilities. This card cannot side attack.>>	
Same Fate Sakura & Rider	SE03	FHSE03-013_R	CH	G	R	FH/SE03-013	1	0	5000	1	0	Master, Servant	Sakura: "Rider, focus on guarding the wall. I'll fight whomever breaks through	[A]When this card attacks, if <<Important Place>> is in the Climax slot, during this turn, all your Characters get +1000 Power.		
Regretful Farewell Bazett	SE03	FHSE03-014_R	CH	G	R	FH/SE03-014	1	0	5000	1	1	Master, Men Clothing	---Why? Making something disappear means 0, no?	[A][(1)]When the Character battling this card becomes REVERSE, you may pay the cost. If you do, your opponent returns all the cards from the Waiting Room to the Deck. Shuffle the Deck afterwards.		
Casual Days Lancer	SE03	FHSE03-015_R	CH	G	R	FH/SE03-015	1	1	5000	1	1	Servant, Weapon	Geh----!	[A]When this card attacks, if <<Favoured Place>> is in the Climax slot, during this turn, this card gets +1500 Power and gains the following ability. <<[A]When the Character battling this card becomes REVERSE, you may place up to the top X cards of your Deck into Stock. X is equal to that Character's Level.>> 	[S][Place 1 of your <Servant> or <Weapon> Characters into Clock from Stage]During this turn, this card gets +5000 Power.	
Memories Of The Past Bazette & Lancer	SE03	FHSE03-016_R	CH	G	R	FH/SE03-016	3	2	10000	2	1	Master, Servant	Lancer: "True, but--- why do I have no luck with good girls"	[C]If you have 5 or more Stock, this card gets +1000 Power.	[C]The Character facing this card gets -1 Soul.	[S][(1)]Choose 1 of your other Characters, during this turn, it gets +1000 Power.
Swimsuit Sakura	SE03	FHSE03-017_C	CH	G	C	FH/SE03-017	0	0	500	1	0	Master, Swimsuit	This is great, having an indoor pool made!	[A][(2)]When this card is placed on Stage from hand, you may pay the cost. If you do, search your Deck for up to 1 <<Swimsuit Rin>>, show it to your opponent and place it into your hand. Shuffle your Deck afterwards.	[A] BOND/<<Swimsuit Rider>> [(1)] (When you place this card on Stage from hand, you may pay the cost. If you do, choose 1 <<Swimsuit Rider>> from your Waiting Room and place it into your hand)	
Bazett Fraga McRemitz	SE03	FHSE03-018_C	CH	G	C	FH/SE03-018	0	0	2500	1	0	Master, Men Clothing	If it's a servant, I'll defeat it	[C]If there are 6 or less cards in your Waiting Room, this card gets +1000 Power.		
Swimsuit Rider	SE03	FHSE03-019_C	CH	G	C	FH/SE03-019	1	0	2000	1	0	Servant, Swimsuit	Shirou's encouragement made me more self-confident	[A]When you use this card's <<ASSIST>>, choose 1 of your <Master> Characters, during this turn, it gets +1000 Power. 	[S][COUNTER] ASSIST 1000 Level 1 [Discard this card from hand to Waiting Room] (Choose 1 Character being Front Attacked, during this turn, it gets +1000 Power)	
