Name	Set	ImageFile	Type	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Traits	Flavour	Ability1	Ability2	Ability3
Halloween Teddie	SE12	P4SE12-P01_PR	CH	B	PR	P4/SE12-P01	0	0	2500	1	0	TV, Animal	Trick or Treat bear!	[A] When this card Direct Attacks, choose 1 other Character, during this turn, it gains +1000 Power.		
Persona Summon! Yu	SE12	P4SE12-101_TD	CH	Y	TD	P4/SE12-101	0	0	2500	1	0	Glasses	… Pe-ru-so-na… !!	[C] While this card is on Stage, this card's name is also <<Persona Summon! Protagonist>>	[S][(1)] Place the top card of your Deck to the Waiting Room. Choose 1 Character, this turn it gets +X Soul. X is the Level of the card that was placed into the Waiting Room by this effect (The Level of Climaxes are treated as 0)	
Cool and Smart Naoto	SE12	P4SE12-102_TD	CH	Y	TD	P4/SE12-102	1	0	5000	1	0	Detective, Glasses	To have no interests other than what's necessary is truly sad	[A][(1)] When this card attacks, you may pay the cost. Select one of your Characters, during this turn, it gets +1500 Power		
Costume Mascot Teddie	SE12	P4SE12-103_TD	CH	Y	TD	P4/SE12-103	0	0	3000	1	0	TV, Animal	Teddie is Teddie, kuma. I have been living in here, kuma			
Notorious Delinquent Kanji	SE12	P4SE12-104_TD	CH	G	TD	P4/SE12-104	0	0	2000	1	0	Delinquent, Glasses	Who you looking at, huh!?	[S] [REST this card] Select 1 of your Characters, during this turn, it gains +1000 Power		
Natural Lady Yukiko	SE12	P4SE12-105_TD	CH	G	TD	P4/SE12-105	1	0	5500	1	0	Fan, Glasses	I've never been outside this town......			
"Big Brother" Yu	SE12	P4SE12-T01_TD	CH	Y	TD	P4/SE12-T01	0	0	500	1	0	-	Nanako: "Onii-chan…"	[C] While this card is on Stage, this card's name is also <<"Big Brother" Protagonist>>	[C] All your other <<Hard-Working Elementary School Student Nanako>> get +1000 Power	[C] SUPPORT All Characters in front of this card get +500 Power
Hanamura Yosuke	SE12	P4SE12-T02_TD	CH	Y	TD	P4/SE12-T02	0	0	2500	1	0	Junes, Glasses	Let's go, partner!	[C] During your turn, this card gains +1000 Power		
Hard-Working Elementary School Student Nanako	SE12	P4SE12-T03_TD	CH	Y	TD	P4/SE12-T03	0	0	3000	1	0	Junes, TV	Take care~			
Jovial Classmate Yosuke	SE12	P4SE12-T04_TD	CH	Y	TD	P4/SE12-T04	1	1	6500	1	0	Junes, Glasses	Alriiight! Here I go!!	[A] When <<Jiraiya Summon>> is placed into your Climax Slot, if this card is in your Front Row, you may search your Deck for 1 <<Caring Mood Maker Yosuke>> and add it to your hand. Shuffle your Deck.		
Welcoming Dojima	SE12	P4SE12-T05_TD	CH	Y	TD	P4/SE12-T05	2	1	2500	1	1	Police	You might have heard from my mother, this is my younger brother, Dojima Ryotaro	[S][COUNTER] BACKUP 3000 Level 2 [(1) Send this card from your hand into Waiting Room] (In response to your opponent's Front Attack, choose one of your Character card in battle. During this turn, that card gains Power +3000.)		
Caring Mood Maker Yosuke	SE12	P4SE12-T06_TD	CH	Y	TD	P4/SE12-T06	2	1	8000	1	1	Junes, Glasses	Alright---!	[C] If your Stock has 4 cards or less, this card gains +1000 Power		
Yu & Izanagi	SE12	P4SE12-T07_TD	CH	Y	TD	P4/SE12-T07	3	2	9500	2	1	Magic, Glasses	Let's do this!!	[C] If your Stock has 4 cards or less, this card gains Power +2000.	[C] When this card is on the Stage, this card's name is also <<Protagonist & Izanagi>>.	[A] When this card is put from Hand to the Stage, look at up to 3 of the top cards of your Deck, choose up to 1 card and add it to your Hand. Put the rest of the cards to the Waiting Room.
Persona	SE12	P4SE12-T08_TD	EV	Y	TD	P4/SE12-T08	2	2			0		This is... my... power--	Select 1 <<Yu & Izanagi>> from your hand and place it onto any slot on the Stage		
Jiraiya Summon	SE12	P4SE12-T09_TD	CX	Y	TD	P4/SE12-T09					2		Let's go, Persona!	[A] When this card is placed from hand to the Climax Zone, draw a card, and choose 1 of your Characters. That Character gains +2000 Power and +1 Soul for the turn.		
Izanagi Awakens	SE12	P4SE12-T10_TD	CX	Y	TD	P4/SE12-T10					2		I am thou, thou art I / Open thine eyes, the time has come	[C] All your Characters gain Soul +2.		
Satonaka Chie	SE12	P4SE12-T11_TD	CH	G	TD	P4/SE12-T11	0	0	3000	1	0	Sports, Glasses	Now… this is the end!			
"Kick of Certain Kill" Chie	SE12	P4SE12-T12_TD	CH	G	TD	P4/SE12-T12	1	0	6000	1	0	Sports, Glasses	Flyyyy!	[A] When this card turns your opponent's Character to REVERSE in battle, send that card to Memory.		
Female High School Student Idol Rise	SE12	P4SE12-T13_TD	CH	G	TD	P4/SE12-T13	2	1	5000	1	1	Music, Glasses	Even me, things I want to do… a place I belong to, I have found it.	[C] All Characters in front of this card gain +X Power. X is equal to the Level of the Character.	[A] When your opponent's Character is moved from Waiting Room to hand, you may select 1 Character, during this turn, it gets +2000 Power	
Chie's Awakening	SE12	P4SE12-T14_TD	CX	G	TD	P4/SE12-T14					G		My own… Persona…	[C] All your Characters gain +1000 Power and +1 Soul.	(Gold: When this card is Triggered, put this card in your hand. You may put the top card of your Deck to Stock)	
Elementary School Student With Firm Character Nanako SP	SE12	P4SE12-T03SP_TD	CH	Y	TDSP	P4/SE12-T03	0	0	3000	1	0	Junes, TV	Take care~			
Caring Mood Maker Yosuke SP	SE12	P4SE12-T06SP_TD	CH	Y	TDSP	P4/SE12-T06	2	1	8000	1	1	Junes, Glasses	You might have heard from my mother, this is my younger brother, Dojima Ryotaro	[C] If your Stock has 4 cards or less, this card gains +1000 Power		
Yu & Izanagi SP	SE12	P4SE12-T07SP_TD	CH	Y	TDSP	P4/SE12-T07	3	2	9500	2	1	Magic, Glasses	Alright---!	[C] If your Stock has 4 cards or less, this card gains Power +2000.	[C] When this card is on the Stage, this card's name is also <<Protagonist & Izanagi>>.	[A] When this card is put from Hand to the Stage, look at up to 3 of the top cards of your Deck, choose up to 1 card and add it to your Hand. Put the rest of the cards to the Waiting Room.
