Name	Set	ImageFile	Type	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Traits	Flavour	Ability1	Ability2	Ability3
In the Underworld Accelerator	W13	IDW13-001_RR	CH	Y	RR	ID/W13-001	1	1	5000	1	1	Psychic Power	Taking up time..	[C] RECOLLECTION If there are 2 or more cards in your Memory, this card gains +1 Soul.	[A] ENCORE [Discard a Character card from hand to the Waiting Room]	
Onee-Sama Mikoto	W13	IDW13-002_RR	CH	Y	RR	ID/W13-002	2	2	7000	2	1	Psychic Power, Frog	You know about railguns?	[C] For each other Character in REST you have, this card gains +500 Power.	[A] ENCORE [Discard a Character card from hand to the Waiting Room]	
Cheerleading Outfit Komoe	W13	IDW13-003_R	CH	Y	R	ID/W13-003	0	0	2000	1	0	Teacher, Science	Why is everyone working hard that you all look beat up~	[A] [(1) Discard a card from hand to the Waiting Room] When this card is placed from hand to the Stage, you may pay cost. If so, search your Deck for a Character with either no traits or <Psychic Power>, reveal it, and put it in your hand. Shuffle your Deck.		
Onee-Sama's Herald Kuroko	W13	IDW13-004_R	CH	Y	R	ID/W13-004	0	0	2500	1	0	Psychic Power, Disciplinary Committee	Bleh...!	[C] If you have 1 or fewer other Characters in play, this card gains +1000 Power and <<[A] ENCORE [Discard a Character card from hand to the Waiting Room]>>.		
Mikoto's Kid Sister Misaka	W13	IDW13-005_R	CH	Y	R	ID/W13-005	1	0	2500	1	0	Clone, Psychic Power	Misaka tells you what's troubling her as she looks at you	[C] ASSIST Your Characters in front of this card gain +500 Power.	[S] BRAINSTORM [(1)] Reveal top 4 cards of your Deck and put them in Waiting Room. Search your Deck for up to X <Psychic Power> Characters, reveal them, and put them in your hand, shuffle, then discard X cards from hand to Waiting Room, X = # of Climax cards this way.	
Index's Protector Touma	W13	IDW13-006_R	CH	Y	R	ID/W13-006	2	2	7500	2	1	-	It seems that she's been waiting	[C] RECOLLECTION If there are 2 or more cards in your Memory, this card gets -2 Level and +3000 Power while on the Stage.	[A] When this card attacks, if <<Imagine Breaker>> is in the Climax Zone, all your other Characters gain +3000 Power for the turn.	
Man with A Special Right Hand Touma	W13	IDW13-007_R	CH	Y	R	ID/W13-007	3	2	10000	2	1	-	Uh, eh, Miss Index?	[C] This card gets -3 Level while on Stage. this card cannot be chosen as target by an Opponent's effects.	[C] Character opposite this card gets -1 Soul.	[A] [(1)] When the Battle Opponent of this card becomes turned to REVERSE, you may pay cost. If so, search your Deck for up to 1 Character with either <Psychic Power> or <Magic>, reveal it, and put it in your hand. Shuffle your Deck.
Maid Candidate Maika	W13	IDW13-008_U	CH	Y	U	ID/W13-008	0	0	500	1	0	Maid	Second semester sounds like lots of work~	[C] ASSIST All your Characters in front of this card gain +500 Power.	[S] [REST 2 of your Characters] Choose 1 of your Characters. That Character gains +500 Power for the turn.	
Mischievous Child Last Order	W13	IDW13-009_U	CH	Y	U	ID/W13-009	0	0	500	1	0	Clone, Psychic Power	Misaka says that Misaka is staring at you with a pitiful look!	[A] When this card attacks, all your other Characters with <<Accelerator>> in the name gain +500 Power for the turn.	[A] BOND/<<In the Underworld Accelerator>> [(1)]	
Change in Routine Accelerator	W13	IDW13-010_U	CH	Y	U	ID/W13-010	0	0	2000	1	0	Psychic Power	Really...	[A] When this card attacks, choose another Character of yours. That Character gains +1500 Power for the turn.		
Unwilling to Lose Mikoto	W13	IDW13-011_U	CH	Y	U	ID/W13-011	1	0	5000	1	0	Psychic Power, Frog	Whatever. Okay	[A] [(1)] When this card attacks, if <<Borrowed Goods Race>> is in the Climax Zone, you may pay cost. If so, choose 1 of your Opponent's Characters. Return it to the hand.		
Multi-Spy Tsuchimikado	W13	IDW13-012_U	CH	Y	U	ID/W13-012	2	1	2000	1	1	Magic, Psychic Power	Start the defense ritual before anyone gets hurt	[A] When this card is placed from hand to the Stage, choose another Character of yours. That Character gains +1500 Power for the turn.	[A] [(1)] When this card is placed from hand to the Stage, you may pay cost. If so, search your Deck for up to 1 Character with either <Psychic Power> or <Magic>, reveal it, and put it in your hand. Shuffle your Deck.	
Electrode Release Accelerator	W13	IDW13-013_U	CH	Y	U	ID/W13-013	2	1	8000	1	1	Psychic Power	Sorry. This is one way only	[A] [(1)] When this card attacks, if <<Strongest in Academy City>> is in the Climax Zone, you may pay cost. If so, choose an Opponent's Front Row Character whose Level is 2 or Lower. Put it in Stock.		
Misaka Misuzu	W13	IDW13-014_C	CH	Y	C	ID/W13-014	0	0	2000	1	0	-	Uh, do you know where Tokiwadai Middle School is?	[C] All your other <Frog> Characters gain +500 Power.		
Accelerator. Strongest Esper	W13	IDW13-015_C	CH	Y	C	ID/W13-015	0	0	1500	1	0	Psychic Power	Is that so...	[C] When this card card is turned to REVERSE, if its battle opponent's Level is 0 or lower, you may put that Character in the Stock. If you do, put the bottom card of the Opponent's Stock to the Waiting Room. 		
Fukiyose Seiri	W13	IDW13-016_C	CH	Y	C	ID/W13-016	0	0	2500	1	0	Sports	What is this... this lack of motivation!	[A] [(1)] When this card becomes turned to REVERSE while battling, you may pay cost. If so, send this card to Memory.		
Unlucky Touma	W13	IDW13-017_C	CH	Y	C	ID/W13-017	0	0	3000	1	0	-	You don't have any gratitude towards the person that feeds you!?			
Sisters' Controller Last Order	W13	IDW13-018_C	CH	Y	C	ID/W13-018	1	0	5000	1	0	Clone, Psychic Power	... What is this, lack-of-emotion-that-ignores me, as Misaka Misaka...!	[C] This card gains +1000 Power during your turn. 		
Musujime Awaki	W13	IDW13-019_C	CH	Y	C	ID/W13-019	1	1	7000	1	0	Psychic Power	My ability is Move Point. Unlike the untalented you, I don't need to touch the object			
High School Student in Academy City Touma	W13	IDW13-020_C	CH	Y	C	ID/W13-020	1	1	7500	1	0	-	.... I didn't know that you know Index...	[C] This card gets -1 Level while on Stage.		
