Name	Set	ImageFile	Type	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Traits	Flavour	Ability1	Ability2	Ability3
Nagisa And Ushio	WE04	CLWE04-01_R	CH	Y	R	CL/WE04-01	2	1	6500	1	1	Love, Dango		[C] During your turn, if you control other Red and Blue characters, this card gains Power +3000.	[A][(2)] When this card is placed from hand to the Stage, you may pay the cost. If you do so, search your Deck for a character with Power 500 and below, show it to your opponent and add it to your hand. Shuffle your Deck.	
Okazaki Nagisa	WE04	CLWE04-02_C	CH	Y	C	CL/WE04-02	1	0	3500	1	0	Dango		[A] BOND/<<Forward-looking Tomoya>> [(1)] (When this card is played onto the Stage, you may pay the cost. If you do so, choose 1 <<Forward-looking Tomoya >> from your Waiting Room and put it back in your hand.		
Instigator Of Love Mei	WE04	CLWE04-03_C	CH	Y	C	CL/WE04-03	1	0	4500	1	0	Love		[S][(2) Put this card to REST mode] All your characters whose name contains <<Nagisa >> gain Soul +1 for this turn.		
Forward-looking Tomoya	WE04	CLWE04-04_C	CH	Y	C	CL/WE04-04	1	1	7000	1	1	Delinquent, Sport		[A] When this card is placed from hand to the Stage, put this card to REST mode.		
Sakagami Tomoyo	WE04	CLWE04-05_R	CH	G	R	CL/WE04-05	0	0	3000	1	0	Student Council, Glasses				
Student Council President Tomoyo	WE04	CLWE04-06_R	CH	G	R	CL/WE04-06	2	1	7500	1	1	Student Council, Sport		[C] When this card is in battle, if both this card and the character it is battling have <Sport>, this card gains Power +2000.	[A] When this card attacks, if the Climax card <<Tomoyo's Vow >> is in play, all your <Theater> characters gain Power +2000 and the following ability for this turn. <<[A] When this card attacks, you may put the top 1 card of your Deck to Stock>>	
Ibuki Fuuko	WE04	CLWE04-07_C	CH	G	C	CL/WE04-07	0	0	1000	1	0	Starfish		[C] If you control other Red and Blue characters, all your other characters gain Power +500.		
Pajama Fuuko	WE04	CLWE04-08_C	CH	G	C	CL/WE04-08	1	0	4000	1	0	Starfish, Pajamas		[A][(2)] When this card is placed from hand to the Stage, you may pay the cost. If you do so, search your Deck for a <Starfish> character, show it to your opponent and add it to your hand. Shuffle your Deck.		
Tomoyo's Vow	WE04	CLWE04-09_C	CX	G	C	CL/WE04-09					S			[C] All your characters gain Power +1000 and Soul +1.		
Kyou And Tomoyo	WE04	CLWE04-10_R	CH	R	R	CL/WE04-10	2	2	8500	2	1	President, Student Council		[A][(5)] When this card is placed from hand to the Stage, if you control other <Dango> and <Delinquent> and <Starfish> and <Book> characters, you may pay the cost. If you do so, place all of your opponent's front row Level 2 and below characters into the Waiting Room.		
Fujibayashi Kyou	WE04	CLWE04-11_R	CH	R	R	CL/WE04-11	0	0	1500	1	0	Twin, President		[C] If your opponent controls a character with Power 500 or less, this card gains Power +1500.	[S][(2) Put this card to REST mode] Return 1 character from Waiting Room to your hand.	
Nagisa And Kyou	WE04	CLWE04-12_C	CH	R	C	CL/WE04-12	1	1	5500	1	1	Theater, President		[C] If you have 5 or more cards in your Stock, this card gains Level +1 and Power +1000.		
President Kyou	WE04	CLWE04-13_C	CH	R	C	CL/WE04-13	3	2	10000	2	1	Twin, President		[A][(1)] When this card is placed from hand to the Stage, you may pay the cost. If you do so, your opponent takes 1 damage. (Damage cancel can occur)	[A] When this card attacks, if the Climax card <<Love Triangle >> is in play, choose a card whose name contains <<Tomoya >>, show it to your opponent and return it to your hand, and this card gains Power +5000 for this turn.	
Love Triangle	WE04	CLWE04-14_C	CX	R	C	CL/WE04-14					D			[C] All your characters gain Power +1000 and Soul +1.		
